         puzzle,       java,     python
         3x3-01,      0.464,      0.410
         3x3-02,      0.464,      0.379
         3x3-03,      0.418,      0.379
         3x3-04,      0.433,      0.436
         3x3-05,      0.382,      0.431
         3x3-06,      0.424,      0.382
         3x3-07,      0.466,      0.379
         3x3-08,      0.416,      0.416
         3x3-09,      0.469,      0.441
         3x3-10,      0.442,      0.422
         3x3-11,      0.434,      0.434
         3x3-12,      0.309,      0.445
         3x3-13,      0.317,      0.434
         3x3-14,      0.372,      0.430
         3x3-15,      0.341,      0.391
         3x3-16,      0.404,      0.400
         3x3-17,      0.375,      0.394
         3x3-18,      0.336,      0.451
         3x3-19,      0.357,      0.395
         3x3-20,      0.354,      0.422
         3x3-21,      0.408,      0.385
         3x3-22,      0.348,      0.377
         3x3-23,      0.386,      0.414
         3x3-24,      0.379,      0.386
         3x3-25,      0.348,      0.379
         3x3-26,      0.442,      0.393
         3x3-27,      0.389,      0.403
         3x3-28,      0.367,      0.397
         3x3-29,      0.326,      0.442
         3x3-30,      0.526,      0.430
         3x3-31,      0.373,      0.447
         3x3-32,      0.355,      0.407
         3x3-33,      0.329,      0.418
         3x3-34,      0.329,      0.386
         3x3-35,      0.350,      0.442
         3x3-36,      0.312,      0.419
         3x3-37,      0.309,      0.427
         3x3-38,      0.359,      0.401
         3x3-39,      0.476,      0.435
         3x3-40,      0.391,      0.392
         3x3-41,      0.336,      0.414
         3x3-42,      0.436,      0.467
         3x3-43,      0.341,      0.388
         3x3-44,      0.340,      0.396
         3x3-45,      0.376,      0.491
         3x3-46,      0.325,      0.409
         3x3-47,      0.414,      0.376
         3x3-48,      0.338,      0.434
         3x3-49,      0.546,      0.425
         3x3-50,      0.396,      0.420
         3x3-51,      0.323,      0.415
         3x3-52,      0.330,      0.474
         3x3-53,      0.404,      0.435
         3x3-54,      0.343,      1.454
         3x3-55,      0.353,      0.430
         3x3-56,      0.327,      0.444
         3x3-57,      0.354,      0.456
         3x3-58,      0.336,      0.482
         3x3-59,      0.328,      0.415
         3x3-60,      0.347,      0.415
         3x3-61,      0.317,      0.460
         3x3-62,      0.340,      0.415
         3x3-63,      0.349,      0.380
         3x3-64,      0.346,      0.462
         3x3-65,      0.329,      0.406
         3x3-66,      0.404,      0.485
         3x3-67,      0.436,      0.410
         3x3-68,      0.419,      0.379
